Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Radiant,"3,13",VS1,G,,,,"1012,50","3169,13",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAC08A-6,-,EX,EX,"68,60","64,50",,,IGI,547256226,,,,,,,,,,10.05,07.06,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,13",VS1,G,,,,"1125,00","3521,25",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LBA67A-4,-,EX,EX,"66,80","60,00",,,GIA,6435414434,,,,,,,,,,10.32,7.14,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,13",VS2,H,,,,"810,00","2535,30",,,,,,,,,-,EX,EX,"69,00","63,00",,,IGI,530216075,,,,,,,,,,10.29,7.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,13",VVS2,E,,,,"1525,00","4773,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK25A-10,-,EX,EX,"66,80","60,00",,,GIA,7443656001,,,,,,,,,,10.22,7.15,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,13",VS2,I,,,,"697,50","2183,18",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LGS12A-986,-,EX,EX,"68,40","65,00",,,IGI,549214433,,,,,,,,,,10.35,7.12,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,11",VVS2,E,,,,"1525,00","4742,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA08B-5,-,EX,EX,"63,00","63,00",,,GIA,6442007403,,,,,,,,,,10.52,7.17,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,11",VVS2,E,,,,"1525,00","4742,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27E-6,-,EX,EX,"66,00","64,00",,,GIA,1449810520,,,,,,,,,,10.3,07.06,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,10",VVS2,E,,,,"1525,00","4727,50",,,,,,,,,-,EX,EX,"65,10","64,00",,,GIA,2434835062,,,,,,,,,,10.71,7.11,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,10",VS2,D,,,,"1350,00","4185,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LLA07G-2,-,EX,EX,"66,60","60,00",,,GIA,7433710022,,,,,,,,,,10.51,07.05,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,10",VS1,D,,,,"1525,00","4727,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA10M-7,-,EX,EX,"66,70","65,00",,,GIA,6442727911,,,,,,,,,,10.34,07.03,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
